0.005,22.0
0.01,16.1
0.015,13.3
0.02,12.4
0.025,12.5
0.03,13.2
0.035,13.2
0.04,13.3
0.045,13.4
0.05,14.3
0.055,13.2
0.06,12.8
0.065,12.6
0.07,12.5
0.075,12.3
0.08,12.4
0.085,12.3
0.09,12.3
0.095,12.4
0.1,12.3
0.105,12.3
0.11,12.2
0.115,12.2
0.12,12.3
0.125,12.8
0.13,12.5
0.135,12.3
0.14,12.4
0.145,12.3
0.15,12.7
0.155,12.9
0.16,12.7
0.165,12.5
0.17,12.8
0.175,12.4
0.18,12.4
0.185,12.3
0.19,12.5
0.195,12.4
0.2,12.4
0.205,12.4
0.21,12.5
0.215,12.4
0.22,12.4
0.225,12.3
0.23,12.5
0.235,12.3
0.24,12.3
0.245,12.3
0.25,12.4
