0.005,12.4
0.01,12.4
0.015,12.4
0.02,12.3
0.025,12.3
0.03,12.4
0.035,12.3
0.04,12.3
0.045,12.3
0.05,12.4
0.055,12.3
0.06,12.4
0.065,12.3
0.07,12.4
0.075,12.3
0.08,12.4
0.085,12.3
0.09,12.4
0.095,12.3
0.1,12.3
0.105,12.3
0.11,12.4
0.115,12.3
0.12,12.4
0.125,12.3
0.13,12.4
0.135,12.3
0.14,12.3
0.145,12.4
0.15,12.5
0.155,12.3
0.16,13.3
0.165,14.1
0.17,13.3
0.175,13.2
0.18,13.0
0.185,13.0
0.19,13.2
0.195,12.5
0.2,12.5
0.205,12.6
0.21,12.5
0.215,12.5
0.22,12.8
0.225,12.6
0.23,12.4
0.235,12.7
0.24,12.8
0.245,12.5
0.25,12.6
