0.005,13.7
0.01,13.8
0.015,14.6
0.02,13.2
0.025,13.1
0.03,13.0
0.035,13.2
0.04,13.1
0.045,12.5
0.05,12.7
0.055,12.4
0.06,12.4
0.065,12.3
0.07,12.4
0.075,12.4
0.08,12.4
0.085,12.3
0.09,12.4
0.095,12.5
0.1,12.4
0.105,12.3
0.11,12.4
0.115,12.5
0.12,12.4
0.125,12.3
0.13,12.4
0.135,12.4
0.14,12.4
0.145,12.4
0.15,12.4
0.155,12.4
0.16,12.4
0.165,12.3
0.17,12.4
0.175,12.4
0.18,12.4
0.185,12.4
0.19,12.4
0.195,12.3
0.2,12.3
0.205,12.3
0.21,12.3
0.215,12.4
0.22,12.4
0.225,12.2
0.23,12.3
0.235,12.4
0.24,12.3
0.245,12.2
0.25,12.4
