0.005,12.4
0.01,12.4
0.015,12.3
0.02,12.4
0.025,12.5
0.03,12.4
0.035,12.3
0.04,12.4
0.045,12.4
0.05,12.3
0.055,12.3
0.06,12.4
0.065,12.3
0.07,12.3
0.075,12.3
0.08,12.3
0.085,12.4
0.09,12.3
0.095,12.3
0.1,12.4
0.105,12.3
0.11,12.2
0.115,12.3
0.12,12.3
0.125,12.4
0.13,12.3
0.135,12.3
0.14,12.3
0.145,12.3
0.15,12.4
0.155,12.3
0.16,12.3
0.165,12.3
0.17,12.3
0.175,12.3
0.18,12.4
0.185,12.3
0.19,12.4
0.195,12.3
0.2,12.4
0.205,12.3
0.21,12.4
0.215,12.3
0.22,12.4
0.225,12.4
0.23,12.8
0.235,12.7
0.24,12.6
0.245,12.9
0.25,13.6
